index,paths,label,bbox,width,height,dataset
2302,kaggle_datasets/liveness-detection-zalo-2022/train/frames/471.mp4/output_0004.jpg,0,"[{'id': 0, 'bbox': (318, 283, 363, 363), 'score': [0.8555625677108765], 'center': (499, 464)}]",1080,1920,liveness-detection-zalo-2022
1980,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/35.mp4/output_0006.jpg,1,"[{'id': 0, 'bbox': (116, 166, 122, 122), 'score': [0.9138175845146179], 'center': (177, 227)}]",360,480,liveness-detection-zalo-2022
1318,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/FT720P_IIYAMAGB_IPHONE5SB_id3_s0_105.png,0,"[{'id': 0, 'bbox': (88, 147, 440, 440), 'score': [0.9175252914428711], 'center': (308, 367)}]",600,600,LCC_FASD
1838,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXB_SMG955U_id61_s0_135.png,0,"[{'id': 0, 'bbox': (106, 109, 297, 297), 'score': [0.9167194366455078], 'center': (254, 257)}]",446,446,LCC_FASD
1299,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_LG58020157_DOOX5MP_id47_s1_150.png,0,"[{'id': 0, 'bbox': (34, 71, 166, 166), 'score': [0.871209979057312], 'center': (117, 154)}]",298,298,LCC_FASD
157,kaggle_datasets/liveness-detection-zalo-2022/train/frames/719.mp4/output_0001.jpg,1,"[{'id': 0, 'bbox': (140, 200, 599, 599), 'score': [0.7615659236907959], 'center': (439, 499)}]",720,1280,liveness-detection-zalo-2022
3166,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_SSMP2250_LVP1M_id50_s0_112.png,0,"[{'id': 0, 'bbox': (47, 87, 323, 323), 'score': [0.7955855131149292], 'center': (208, 248)}]",450,450,LCC_FASD
1523,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/HUAWEIP7L_id122_s0_75.png,1,"[{'id': 0, 'bbox': (96, 99, 296, 296), 'score': [0.9346026182174683], 'center': (244, 247)}]",456,456,LCC_FASD
899,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_AV425HL_SMJ320F_id33_s1_105.png,0,"[{'id': 0, 'bbox': (99, 124, 304, 303), 'score': [0.907659649848938], 'center': (251, 275)}]",498,498,LCC_FASD
2498,kaggle_datasets/liveness-detection-zalo-2022/train/frames/543.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (40, 113, 181, 181), 'score': [0.8994894623756409], 'center': (130, 203)}]",240,480,liveness-detection-zalo-2022
1072,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_4144.png,0,"[{'id': 0, 'bbox': (39, 83, 233, 233), 'score': [0.9290496706962585], 'center': (155, 199)}]",339,339,LCC_FASD
2014,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/36.mp4/output_0009.jpg,1,"[{'id': 0, 'bbox': (285, 611, 570, 570), 'score': [0.9488841891288757], 'center': (570, 896)}]",864,1920,liveness-detection-zalo-2022
1519,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/14.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (230, 592, 543, 543), 'score': [0.9652442932128906], 'center': (501, 863)}]",1080,1920,liveness-detection-zalo-2022
1726,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXB_SMG955U_id48_s1_78.png,0,"[{'id': 0, 'bbox': (98, 138, 531, 531), 'score': [0.8405411243438721], 'center': (363, 403)}]",692,692,LCC_FASD
417,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXU_IPHONE7F_id23_s0_30.png,0,"[{'id': 0, 'bbox': (214, 174, 553, 553), 'score': [0.9509422779083252], 'center': (490, 450)}]",876,876,LCC_FASD
341,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1584.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (513, 719, 1134, 1134), 'score': [0.9000792503356934], 'center': (1080, 1286)}]",2160,3840,liveness-detection-zalo-2022
474,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id43_s0_90.png,1,"[{'id': 0, 'bbox': (137, 213, 539, 539), 'score': [0.9024563431739807], 'center': (406, 482)}]",863,863,LCC_FASD
1572,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1127.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (280, 480, 446, 446), 'score': [0.9020244479179382], 'center': (503, 703)}]",1080,1920,liveness-detection-zalo-2022
1530,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/14.mp4/output_0014.jpg,1,"[{'id': 0, 'bbox': (342, 597, 433, 433), 'score': [0.8959329724311829], 'center': (558, 813)}]",1080,1920,liveness-detection-zalo-2022
1054,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1789.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (358, 743, 485, 485), 'score': [0.832231879234314], 'center': (600, 985)}]",1080,1920,liveness-detection-zalo-2022
2304,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXU_GZS4020_id23_s0_105.png,0,"[{'id': 0, 'bbox': (163, 170, 484, 484), 'score': [0.9344055652618408], 'center': (405, 412)}]",794,794,LCC_FASD
534,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1642.mp4/output_0001.jpg,1,"[{'id': 0, 'bbox': (170, 719, 576, 576), 'score': [0.9014317989349365], 'center': (458, 1007)}]",1080,1920,liveness-detection-zalo-2022
1147,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_6942.png,0,"[{'id': 0, 'bbox': (49, 70, 221, 221), 'score': [0.8592962622642517], 'center': (159, 180)}]",323,323,LCC_FASD
2265,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/47.mp4/output_0022.jpg,1,"[{'id': 0, 'bbox': (378, 692, 334, 334), 'score': [0.942478358745575], 'center': (545, 859)}]",1080,1920,liveness-detection-zalo-2022
2466,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1411.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (489, 704, 395, 395), 'score': [0.931364893913269], 'center': (686, 901)}]",1080,1920,liveness-detection-zalo-2022
2466,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_MBP1314_IPHONE8F_id31_s0_154.png,0,"[{'id': 0, 'bbox': (92, 127, 315, 315), 'score': [0.848879873752594], 'center': (249, 284)}]",479,479,LCC_FASD
2128,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1304.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (289, 591, 585, 585), 'score': [0.5576828122138977], 'center': (581, 883)}]",1080,1920,liveness-detection-zalo-2022
653,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_6489.png,0,"[{'id': 0, 'bbox': (60, 83, 194, 194), 'score': [0.931839644908905], 'center': (157, 180)}]",318,318,LCC_FASD
962,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/45.mp4/output_0009.jpg,0,"[{'id': 0, 'bbox': (289, 666, 829, 829), 'score': [0.8626461029052734], 'center': (703, 1080)}]",1080,1920,liveness-detection-zalo-2022
2859,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_S300U1A_HUAWEIY3II_id50_s0_90.png,0,"[{'id': 0, 'bbox': (101, 126, 329, 329), 'score': [0.9025282859802246], 'center': (265, 290)}]",532,532,LCC_FASD
2131,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/42.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (82, 142, 178, 178), 'score': [0.8723692893981934], 'center': (171, 231)}]",360,480,liveness-detection-zalo-2022
730,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1695.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (415, 866, 373, 373), 'score': [0.9203401803970337], 'center': (601, 1052)}]",1080,1920,liveness-detection-zalo-2022
2052,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1281.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (305, 349, 393, 393), 'score': [0.9304845929145813], 'center': (501, 545)}]",1080,1920,liveness-detection-zalo-2022
2722,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1482.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (337, 775, 363, 363), 'score': [0.9218709468841553], 'center': (518, 956)}]",1080,1920,liveness-detection-zalo-2022
949,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_4032.png,0,"[{'id': 0, 'bbox': (55, 106, 316, 316), 'score': [0.9487220644950867], 'center': (213, 264)}]",507,507,LCC_FASD
390,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/FT720P_SSM2433_S4508_id6_s0_72.png,0,"[{'id': 0, 'bbox': (44, 84, 301, 301), 'score': [0.8643514513969421], 'center': (194, 234)}]",392,392,LCC_FASD
2712,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_2097.png,0,"[{'id': 0, 'bbox': (84, 206, 538, 538), 'score': [0.9142212271690369], 'center': (353, 475)}]",745,745,LCC_FASD
2528,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_4564.png,0,"[{'id': 0, 'bbox': (30, 65, 223, 223), 'score': [0.791897714138031], 'center': (141, 176)}]",333,333,LCC_FASD
2194,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/44.mp4/output_0018.jpg,1,"[{'id': 0, 'bbox': (80, 162, 217, 217), 'score': [0.9423065781593323], 'center': (188, 270)}]",360,480,liveness-detection-zalo-2022
716,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id64_s0_105.png,1,"[{'id': 0, 'bbox': (90, 118, 289, 289), 'score': [0.9332903623580933], 'center': (234, 262)}]",431,431,LCC_FASD
1552,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/15.mp4/output_0015.jpg,1,"[{'id': 0, 'bbox': (170, 788, 630, 630), 'score': [0.9500468969345093], 'center': (485, 1103)}]",1080,1920,liveness-detection-zalo-2022
1619,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1139.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (148, 153, 164, 164), 'score': [0.7865805625915527], 'center': (230, 235)}]",320,576,liveness-detection-zalo-2022
1276,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/6.mp4/output_0012.jpg,0,"[{'id': 0, 'bbox': (294, 531, 592, 592), 'score': [0.9129365682601929], 'center': (590, 827)}]",1080,1920,liveness-detection-zalo-2022
2388,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/51.mp4/output_0011.jpg,1,"[{'id': 0, 'bbox': (191, 516, 603, 603), 'score': [0.9146925806999207], 'center': (492, 817)}]",1080,1920,liveness-detection-zalo-2022
2060,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_3225.png,0,"[{'id': 0, 'bbox': (60, 120, 324, 324), 'score': [0.8694482445716858], 'center': (222, 282)}]",465,465,LCC_FASD
2506,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_7270.png,0,"[{'id': 0, 'bbox': (135, 137, 388, 388), 'score': [0.9141888618469238], 'center': (329, 331)}]",589,589,LCC_FASD
1597,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/REDMI3_id123_s0_135.png,1,"[{'id': 0, 'bbox': (156, 175, 517, 517), 'score': [0.9182586073875427], 'center': (414, 433)}]",806,806,LCC_FASD
1599,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/REDMI3_id123_s0_150.png,1,"[{'id': 0, 'bbox': (157, 175, 514, 514), 'score': [0.9184443950653076], 'center': (414, 432)}]",806,806,LCC_FASD
1705,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id108_s0_90.png,1,"[{'id': 0, 'bbox': (56, 78, 222, 222), 'score': [0.8964065313339233], 'center': (167, 189)}]",333,333,LCC_FASD
2185,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/44.mp4/output_0009.jpg,1,"[{'id': 0, 'bbox': (136, 153, 172, 172), 'score': [0.8350614309310913], 'center': (222, 239)}]",360,480,liveness-detection-zalo-2022
1956,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/FT720P_MBP1314_IPHONE7F_id8_s0_45.png,0,"[{'id': 0, 'bbox': (41, 83, 282, 282), 'score': [0.9096951484680176], 'center': (182, 224)}]",354,354,LCC_FASD
1675,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_5605.png,0,"[{'id': 0, 'bbox': (107, 129, 322, 322), 'score': [0.9307488799095154], 'center': (268, 290)}]",505,505,LCC_FASD
1883,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/3.mp4/output_0019.jpg,1,"[{'id': 0, 'bbox': (350, 899, 486, 486), 'score': [0.9705644845962524], 'center': (593, 1142)}]",1080,1920,liveness-detection-zalo-2022
1179,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1020.mp4/output_0003.jpg,0,"[{'id': 0, 'bbox': (353, 659, 462, 462), 'score': [0.8796496391296387], 'center': (584, 890)}]",1080,1920,liveness-detection-zalo-2022
1659,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/2.mp4/output_0014.jpg,1,"[{'id': 0, 'bbox': (147, 201, 138, 138), 'score': [0.9523882269859314], 'center': (216, 270)}]",360,480,liveness-detection-zalo-2022
2476,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_DP2717H_HTCONEM9_id36_s0_105.png,0,"[{'id': 0, 'bbox': (94, 119, 255, 255), 'score': [0.895618200302124], 'center': (221, 246)}]",432,432,LCC_FASD
2360,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_CLUNKNOWN_AZ3Z012S_id34_s0_149.png,0,"[{'id': 0, 'bbox': (89, 121, 304, 304), 'score': [0.9363316893577576], 'center': (241, 273)}]",500,500,LCC_FASD
1795,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/26.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (95, 491, 664, 664), 'score': [0.9547895193099976], 'center': (427, 823)}]",1080,1920,liveness-detection-zalo-2022
1096,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/real_118.png,1,"[{'id': 0, 'bbox': (87, 128, 348, 348), 'score': [0.9151203632354736], 'center': (261, 302)}]",506,506,LCC_FASD
1797,kaggle_datasets/liveness-detection-zalo-2022/train/frames/327.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (268, 396, 442, 442), 'score': [0.8974167704582214], 'center': (489, 617)}]",1080,1920,liveness-detection-zalo-2022
1686,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/real_video/frames/20.mp4/output_0017.jpg,1,"[{'id': 0, 'bbox': (87, 146, 176, 176), 'score': [0.8061016201972961], 'center': (175, 234)}]",360,480,liveness-detection-zalo-2022
483,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id44_s0_60.png,1,"[{'id': 0, 'bbox': (132, 173, 407, 407), 'score': [0.9371340274810791], 'center': (335, 376)}]",671,671,LCC_FASD
1949,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXB_SMG955U_id72_s0_60.png,0,"[{'id': 0, 'bbox': (110, 129, 365, 365), 'score': [0.9051336050033569], 'center': (292, 311)}]",560,560,LCC_FASD
874,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id79_s0_90.png,1,"[{'id': 0, 'bbox': (112, 145, 368, 368), 'score': [0.9085797667503357], 'center': (296, 329)}]",598,598,LCC_FASD
2744,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/spoof_4762.png,0,"[{'id': 0, 'bbox': (126, 119, 330, 330), 'score': [0.9221771955490112], 'center': (291, 284)}]",526,526,LCC_FASD
205,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1543.mp4/output_0004.jpg,1,"[{'id': 0, 'bbox': (162, 463, 921, 921), 'score': [0.8830528259277344], 'center': (622, 923)}]",1080,1920,liveness-detection-zalo-2022
1409,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/FT720P_id1_s0_15.png,1,"[{'id': 0, 'bbox': (81, 86, 266, 266), 'score': [0.9490208625793457], 'center': (214, 219)}]",420,420,LCC_FASD
1030,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id97_s1_53.png,1,"[{'id': 0, 'bbox': (204, 234, 625, 625), 'score': [0.9385403394699097], 'center': (516, 546)}]",1026,1026,LCC_FASD
976,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id91_s0_65.png,1,"[{'id': 0, 'bbox': (154, 170, 503, 503), 'score': [0.9391187429428101], 'center': (405, 421)}]",800,800,LCC_FASD
1492,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/FT720P_id8_s0_60.png,1,"[{'id': 0, 'bbox': (35, 65, 209, 209), 'score': [0.916968047618866], 'center': (139, 169)}]",269,269,LCC_FASD
1855,kaggle_datasets/liveness-detection-zalo-2022/train/frames/341.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (273, 641, 496, 496), 'score': [0.8802660703659058], 'center': (521, 889)}]",1080,1920,liveness-detection-zalo-2022
457,kaggle_datasets/liveness-detection-zalo-2022/train/frames/805.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (48, 534, 861, 861), 'score': [0.8419235348701477], 'center': (478, 964)}]",1080,1920,liveness-detection-zalo-2022
1385,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1077.mp4/output_0003.jpg,1,"[{'id': 0, 'bbox': (236, 463, 577, 577), 'score': [0.800619900226593], 'center': (524, 751)}]",1080,1920,liveness-detection-zalo-2022
142,kaggle_datasets/real-vs-fake-anti-spoofing-video-classification/train/attack/frames/12.mp4/output_0033.jpg,0,"[{'id': 0, 'bbox': (39, 799, 893, 892), 'score': [0.9129263162612915], 'center': (485, 1245)}]",1080,1920,liveness-detection-zalo-2022
980,kaggle_datasets/liveness-detection-zalo-2022/train/frames/96.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (300, 544, 348, 348), 'score': [0.8052236437797546], 'center': (474, 718)}]",1080,1920,liveness-detection-zalo-2022
1000,kaggle_datasets/liveness-detection-zalo-2022/train/frames/969.mp4/output_0005.jpg,1,"[{'id': 0, 'bbox': (181, 945, 744, 744), 'score': [0.7701957821846008], 'center': (553, 1317)}, {'id': 1, 'bbox': (434, -46, 395, 395), 'score': [0.512342631816864], 'center': (631, 151)}]",1078,1920,liveness-detection-zalo-2022
1089,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/real_112.png,1,"[{'id': 0, 'bbox': (118, 180, 489, 489), 'score': [0.9022008776664734], 'center': (362, 424)}]",707,707,LCC_FASD
2025,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1270.mp4/output_0003.jpg,0,"[{'id': 0, 'bbox': (105, 198, 259, 259), 'score': [0.771996796131134], 'center': (234, 327)}]",480,852,liveness-detection-zalo-2022
623,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXU_MOTOMC_S0_id53_s1_22.png,0,"[{'id': 0, 'bbox': (142, 154, 388, 388), 'score': [0.9322415590286255], 'center': (336, 348)}]",666,666,LCC_FASD
338,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/FT720P_SSM2433_S4508_id2_s0_90.png,0,"[{'id': 0, 'bbox': (87, 113, 260, 260), 'score': [0.9196666479110718], 'center': (217, 243)}]",427,427,LCC_FASD
1935,kaggle_datasets/liveness-detection-zalo-2022/train/frames/1237.mp4/output_0002.jpg,1,"[{'id': 0, 'bbox': (187, 395, 382, 382), 'score': [0.8828944563865662], 'center': (378, 586)}]",720,1280,liveness-detection-zalo-2022
652,kaggle_datasets/lcc-fasd/LCC_FASD/spoof_trn/YOUTUBE_IIYAMAXU_MOTOMC_S0_id57_s0_45.png,0,"[{'id': 0, 'bbox': (71, 80, 224, 224), 'score': [0.9251068234443665], 'center': (183, 192)}]",368,368,LCC_FASD
1885,kaggle_datasets/lcc-fasd/LCC_FASD/real_trn/YOUTUBE_id28_s0_76.png,1,"[{'id': 0, 'bbox': (67, 91, 254, 254), 'score': [0.9391475915908813], 'center': (194, 218)}]",412,412,LCC_FASD
